Region,Product_Category,Warehouse_Type,Supplier_Type,Transportation_Mode,Demand_Level_Category,Inventory_Status,Demand_Units,Forecasted_Demand_Units,Inventory_Level_Units,Reorder_Point,Lead_Time_Days,Transportation_Cost_USD,Holding_Cost_USD,Stockout_Incidents,Order_Fulfillment_Time_Days,Supplier_Reliability_Score,Demand_Forecast_Accuracy,Inventory_Turnover_Ratio,Supply_Chain_Efficiency_Index,Inventory_Risk_Score,Logistics_Performance_Index
West,FMCG,Regional,International,Sea,Medium,Optimal,1371,1290.0,2011.0,1220,21.08,2111.16,2208.34,3,14.23,93.27,94.09,0.68,75.35,33.44,65.2
East,Industrial Supplies,Central,Distributor,Road,Medium,Overstocked,1449,1298.0,1765.0,992,17.07,1892.9,1647.92,1,9.87,87.43,89.58,0.82,81.12,24.57,72.62
North,Apparel,Central,International,Road,Medium,Overstocked,1905,1984.0,3185.0,1616,16.61,1583.7,7274.25,0,9.04,74.93,95.85,0.6,83.24,18.27,71.16
West,FMCG,Regional,International,Road,High,Optimal,1700,1680.0,2386.0,1457,16.16,3022.95,1546.73,1,7.56,69.53,98.82,0.71,82.19,19.96,69.56
South,Industrial Supplies,Local,International,Road,Medium,Overstocked,1167,1065.0,1372.0,1284,23.24,1219.12,1766.91,0,9.34,69.13,91.26,0.85,79.88,26.74,69.57
West,FMCG,Regional,Distributor,Air,Low,Optimal,490,485.0,632.0,532,14.57,2530.51,473.48,0,7.05,85.02,98.98,0.78,88.85,14.98,76.23
North,Apparel,Local,Local,Road,Medium,Overstocked,844,922.0,1152.0,850,16.07,1470.34,843.53,0,6.36,70.4,90.76,0.73,83.01,19.77,75.39
South,Apparel,Central,International,Road,Low,Optimal,958,1024.0,931.0,923,14.97,1331.82,1813.58,0,9.23,92.32,93.11,1.03,86.44,17.73,76.51
West,Home Goods,Regional,International,Road,Medium,Stockout Risk,1215,1000.0,809.0,1037,17.61,2180.01,706.54,4,11.85,87.29,82.3,1.5,69.89,38.02,68.03
South,Industrial Supplies,Local,Distributor,Road,Medium,Overstocked,495,378.0,880.0,346,12.18,635.97,703.56,3,6.21,70.62,76.36,0.56,71.5,31.63,77.47
East,FMCG,Local,Distributor,Road,Medium,Optimal,1870,1870.0,2771.0,1265,7.56,1654.97,3990.35,0,3.59,95.59,100.0,0.67,95.31,7.56,88.11
North,FMCG,Local,Distributor,Road,High,Overstocked,1701,1674.0,2724.0,1206,4.09,1752.85,3456.49,1,3.01,77.94,98.41,0.62,88.7,8.06,83.78
South,Industrial Supplies,Local,Distributor,Road,Medium,Optimal,400,306.0,497.0,188,4.11,469.14,795.54,2,2.51,65.77,76.5,0.8,76.26,20.18,83.75
East,Electronics,Local,Local,Road,High,Optimal,2200,2430.0,1892.0,1599,14.58,2152.22,2343.14,0,7.1,75.61,89.55,1.16,83.14,18.76,74.08
West,FMCG,Local,Local,Road,High,Optimal,2900,3190.0,3446.0,2160,9.0,3633.71,2601.22,1,5.38,78.88,90.0,0.84,83.62,16.33,75.47
